session_id,scenario_name,student_role,ai_model,first_mover,config,total_rounds,outcome,major,gender,negotiation_experience,created_at,updated_at
73d0ca69-0653-4239-a5c3-8c11a77ec19d,Main_Street,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,math,Male,None,2025-12-13 18:42,2025-12-13 18:51
25fb4f5f-4920-4f1d-ae27-0fd6c381d54d,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Management (MBA),Male,A few instances,2025-12-13 15:36,2025-12-14 02:31
f81fa2d0-2ce4-4e8d-bb90-46387c98f7e9,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-13 07:37,2025-12-13 07:38
9f3067eb-b95e-43b9-b49d-f74b1460149c,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-13 06:56,2025-12-13 07:30
51657fbc-e729-4d22-a895-df5262401d70,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-13 06:56,2025-12-13 06:57
5a3fab1f-9be3-45d1-a37f-bc71fed22a69,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-13 05:06,2025-12-13 05:07
7312ba2c-21f9-4ed2-b9f2-33040aa5961b,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-13 05:04,2025-12-13 05:05
a8e75f05-ea38-4263-8219-b11b3ecaa365,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-13 04:39,2025-12-13 04:41
052d6abd-3877-4b7b-8ac9-e790d6dd09a9,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-13 04:07,2025-12-13 04:08
c2fe8706-ed25-41d1-8d00-8f12da7c1cb6,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-13 04:04,2025-12-13 04:05
091533dd-2369-428e-aa03-9bb93af1d1dc,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,,,,2025-12-13 02:49,2025-12-13 04:55
26a8d256-cb29-4bb7-8f53-e70d8cfe2825,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,MBA,Female,,2025-12-13 02:23,2025-12-13 03:16
0be5ceb8-8433-4999-9e9d-89d6828c268c,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,Management,Female,A few instances,2025-12-12 21:12,2025-12-13 19:56
f90b10aa-49a4-4512-af34-da95c0507dab,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 active,Law,Male,None,2025-12-12 19:41,2025-12-12 19:41
d6ab1b78-b462-43cd-a323-4e2cd894b658,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Masters of Advanced Management,Male,Occasional,2025-12-12 17:56,2025-12-12 18:49
179a5ec7-6854-4a97-91c9-436a65265f1f,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,MBA,Male,A few instances,2025-12-12 17:47,2025-12-12 17:49
786b18ef-568e-42ec-8bcd-9117ac56198d,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,MBA,Male,A few instances,2025-12-12 17:45,2025-12-12 17:47
fe608fa5-652e-4b7c-80c3-931c5c4d16a3,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,✅ Deal,GBS,Female,Occasional,2025-12-12 17:00,2025-12-12 18:12
e1940b89-0e80-43a8-8862-b54dffd00237,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,Global Business and Society,Male,A few instances,2025-12-12 16:15,2025-12-12 18:24
e44c87a5-c483-4762-a799-50bb2877480a,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,Global Business and Society,Male,A few instances,2025-12-12 16:13,2025-12-12 16:16
abda911c-f7a6-493f-8ca4-d9cd69d32c71,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,MBA,Male,A few instances,2025-12-12 16:03,2025-12-12 16:47
fd60d9d4-e8a1-4e24-a6ef-1cf30334cc93,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,✅ Deal,GBS,Male,Occasional,2025-12-12 15:18,2025-12-12 16:18
a2e6c00c-2df3-40ed-b721-dbd2a6297697,Top_talent,side2,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,GBS,Male,Occasional,2025-12-12 15:06,2025-12-12 15:20
b9a25b21-5615-4c24-bf67-1ec9d592588d,Top_talent,side2,openai/gpt-5,👤 Student,🧠🎯 M+P,6,⏹️ No Deal,Global Business and Society,Male,Occasional,2025-12-12 08:21,2025-12-12 09:34
2e31e7da-b3f2-4115-a638-1fc7f9e933e1,Top_talent,side1,openai/gpt-5,👤 Student,🧠🎯 M+P,6,🔄 active,,,,2025-12-12 02:57,2025-12-12 02:57
63792539-7312-44cb-8643-b971760d314f,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-12 02:33,2025-12-12 02:35
a918d3e8-a9f5-4bbe-b96d-b8161546264a,Main_Street,side2,openai/gpt-5,🤖 AI,⚪ Base,6,✅ Deal,MBA outside,Female,A few instances,2025-12-11 14:43,2025-12-11 15:13
6f1277fe-8910-4692-91b8-1ef1836a4b06,Top_talent,side1,openai/gpt-5,🤖 AI,🧠🎯 M+P,6,🔄 active,,,,2025-12-11 08:09,2025-12-11 08:13
98ed3f28-11c2-4ab1-a83f-1453036bfed7,Top_talent,side1,openai/gpt-5,🤖 AI,⚪ Base,6,🔄 active,SDS,,,2025-12-11 08:08,2025-12-11 08:12
